onboard,engage,source,target,t,intimacy
False,False,1,0,3,0.09900990099009901
False,False,0,1,3,0.09900990099009901
False,False,2,0,3,0.09900990099009901
False,False,0,2,3,0.09900990099009901
False,False,2,1,3,0.09900990099009901
False,False,1,2,3,0.09900990099009901
False,False,1,0,4,0.09802960494069209
False,False,0,1,4,0.09802960494069209
False,False,2,0,4,0.09802960494069209
False,False,0,2,4,0.09802960494069209
False,False,2,1,4,0.09802960494069209
False,False,1,2,4,0.09802960494069209
False,False,3,0,4,0.9900990099009901
False,False,3,4,4,0.9900990099009901
False,False,1,0,5,0.09705901479276444
False,False,0,1,5,0.09705901479276444
False,False,2,0,5,0.09705901479276444
False,False,0,2,5,0.09705901479276444
False,False,2,1,5,0.09705901479276444
False,False,1,2,5,0.09705901479276444
False,False,3,0,5,0.9802960494069208
False,False,3,4,5,0.9802960494069208
False,False,1,0,6,0.09609803444828162
False,False,0,1,6,0.09609803444828162
False,False,2,0,6,0.09609803444828162
False,False,0,2,6,0.09609803444828162
False,False,2,1,6,0.09609803444828162
False,False,1,2,6,0.09609803444828162
False,False,3,0,6,0.9705901479276444
False,False,3,4,6,0.9705901479276444
False,False,4,0,6,0.9900990099009901
False,False,4,1,6,0.9900990099009901
False,False,4,5,6,0.9900990099009901
False,False,6,2,6,0.9900990099009901
False,False,6,3,6,0.9900990099009901
False,False,1,0,7,0.09514656876067487
False,False,0,1,7,0.09514656876067487
False,False,2,0,7,0.09514656876067487
False,False,0,2,7,0.09514656876067487
False,False,2,1,7,0.09514656876067487
False,False,1,2,7,0.09514656876067487
False,False,3,0,7,0.9609803444828162
False,False,3,4,7,0.9609803444828162
False,False,4,0,7,0.9802960494069208
False,False,4,1,7,0.9802960494069208
False,False,4,5,7,0.9802960494069208
False,False,6,2,7,0.9802960494069208
False,False,6,3,7,0.9802960494069208
False,False,1,0,8,0.09420452352542066
False,False,0,1,8,0.09420452352542066
False,False,2,0,8,0.09420452352542066
False,False,0,2,8,0.09420452352542066
False,False,2,1,8,0.09420452352542066
False,False,1,2,8,0.09420452352542066
False,False,3,0,8,0.9514656876067488
False,False,3,4,8,0.9514656876067488
False,False,4,0,8,0.9705901479276444
False,False,4,1,8,0.9705901479276444
False,False,4,5,8,0.9705901479276444
False,False,6,2,8,0.9705901479276444
False,False,6,3,8,0.9705901479276444
False,False,7,8,8,0.9900990099009901
False,False,1,0,9,0.09327180547071352
False,False,0,1,9,0.09327180547071352
False,False,2,0,9,0.09327180547071352
False,False,0,2,9,0.09327180547071352
False,False,2,1,9,0.09327180547071352
False,False,1,2,9,0.09327180547071352
False,False,3,0,9,0.9420452352542067
